
U(x, u) = x^2 + u^2

+-------+------------+-------------+---------------+-------------+
|   x   |   Пикар    | Явный Эйлер | Неявный Эйлер | Рунге-Кутта |
| 0.074 | 1.3783e-04 |  1.3645e-04 |   1.3645e-04  |  1.3783e-04 |
| 0.075 | 1.4063e-04 |  1.3922e-04 |   1.3922e-04  |  1.4063e-04 |
| 0.075 | 1.4346e-04 |  1.4203e-04 |   1.4203e-04  |  1.4346e-04 |
| 0.076 | 1.4633e-04 |  1.4488e-04 |   1.4488e-04  |  1.4633e-04 |
| 0.076 | 1.4923e-04 |  1.4777e-04 |   1.4777e-04  |  1.4924e-04 |
| 0.077 | 1.5218e-04 |  1.5070e-04 |   1.5070e-04  |  1.5218e-04 |
| 0.077 | 1.5516e-04 |  1.5366e-04 |   1.5366e-04  |  1.5516e-04 |
| 0.078 | 1.5818e-04 |  1.5667e-04 |   1.5667e-04  |  1.5819e-04 |
| 0.079 | 1.6125e-04 |  1.5971e-04 |   1.5971e-04  |  1.6125e-04 |
| 0.079 | 1.6435e-04 |  1.6279e-04 |   1.6279e-04  |  1.6435e-04 |
| 0.080 | 1.6749e-04 |  1.6591e-04 |   1.6591e-04  |  1.6749e-04 |
| 0.080 | 1.7067e-04 |  1.6907e-04 |   1.6907e-04  |  1.7067e-04 |
| 0.081 | 1.7389e-04 |  1.7227e-04 |   1.7227e-04  |  1.7389e-04 |
| 0.081 | 1.7715e-04 |  1.7551e-04 |   1.7551e-04  |  1.7715e-04 |
| 0.082 | 1.8045e-04 |  1.7879e-04 |   1.7879e-04  |  1.8045e-04 |
| 0.082 | 1.8379e-04 |  1.8211e-04 |   1.8211e-04  |  1.8379e-04 |
| 0.083 | 1.8717e-04 |  1.8547e-04 |   1.8547e-04  |  1.8718e-04 |
| 0.083 | 1.9060e-04 |  1.8888e-04 |   1.8888e-04  |  1.9060e-04 |
| 0.084 | 1.9406e-04 |  1.9232e-04 |   1.9232e-04  |  1.9406e-04 |
| 0.084 | 1.9757e-04 |  1.9581e-04 |   1.9581e-04  |  1.9757e-04 |
| 0.085 | 2.0112e-04 |  1.9934e-04 |   1.9934e-04  |  2.0112e-04 |
| 0.085 | 2.0471e-04 |  2.0291e-04 |   2.0291e-04  |  2.0471e-04 |
| 0.086 | 2.0834e-04 |  2.0652e-04 |   2.0652e-04  |  2.0835e-04 |
| 0.086 | 2.1202e-04 |  2.1017e-04 |   2.1017e-04  |  2.1202e-04 |
| 0.087 | 2.1574e-04 |  2.1387e-04 |   2.1387e-04  |  2.1574e-04 |
| 0.087 | 2.1950e-04 |  2.1761e-04 |   2.1761e-04  |  2.1951e-04 |
| 0.088 | 2.2331e-04 |  2.2140e-04 |   2.2140e-04  |  2.2331e-04 |
| 0.088 | 2.2716e-04 |  2.2523e-04 |   2.2523e-04  |  2.2716e-04 |
| 0.088 | 2.3105e-04 |  2.2910e-04 |   2.2910e-04  |  2.3106e-04 |
| 0.089 | 2.3499e-04 |  2.3301e-04 |   2.3301e-04  |  2.3499e-04 |
| 0.089 | 2.3897e-04 |  2.3697e-04 |   2.3697e-04  |  2.3898e-04 |
| 0.090 | 2.4300e-04 |  2.4098e-04 |   2.4098e-04  |  2.4300e-04 |
| 0.090 | 2.4707e-04 |  2.4503e-04 |   2.4503e-04  |  2.4708e-04 |
| 0.091 | 2.5119e-04 |  2.4912e-04 |   2.4912e-04  |  2.5119e-04 |
| 0.091 | 2.5535e-04 |  2.5327e-04 |   2.5327e-04  |  2.5536e-04 |
| 0.092 | 2.5956e-04 |  2.5745e-04 |   2.5745e-04  |  2.5957e-04 |
| 0.092 | 2.6382e-04 |  2.6168e-04 |   2.6168e-04  |  2.6382e-04 |
| 0.093 | 2.6812e-04 |  2.6596e-04 |   2.6596e-04  |  2.6812e-04 |
| 0.093 | 2.7247e-04 |  2.7029e-04 |   2.7029e-04  |  2.7247e-04 |
| 0.094 | 2.7686e-04 |  2.7466e-04 |   2.7466e-04  |  2.7687e-04 |
| 0.095 | 2.8130e-04 |  2.7908e-04 |   2.7908e-04  |  2.8131e-04 |
| 0.095 | 2.8579e-04 |  2.8354e-04 |   2.8354e-04  |  2.8580e-04 |
| 0.096 | 2.9033e-04 |  2.8805e-04 |   2.8805e-04  |  2.9033e-04 |
| 0.096 | 2.9491e-04 |  2.9261e-04 |   2.9261e-04  |  2.9492e-04 |
| 0.097 | 2.9955e-04 |  2.9722e-04 |   2.9722e-04  |  2.9955e-04 |
| 0.097 | 3.0423e-04 |  3.0188e-04 |   3.0188e-04  |  3.0423e-04 |
| 0.098 | 3.0895e-04 |  3.0658e-04 |   3.0658e-04  |  3.0896e-04 |
| 0.098 | 3.1373e-04 |  3.1134e-04 |   3.1134e-04  |  3.1374e-04 |
| 0.099 | 3.1856e-04 |  3.1614e-04 |   3.1614e-04  |  3.1856e-04 |
| 0.099 | 3.2343e-04 |  3.2099e-04 |   3.2099e-04  |  3.2344e-04 |
| 0.100 | 3.2836e-04 |  3.2589e-04 |   3.2589e-04  |  3.2836e-04 |
| 0.100 | 3.3333e-04 |  3.3084e-04 |   3.3084e-04  |  3.3334e-04 |
| 0.101 | 3.3836e-04 |  3.3584e-04 |   3.3584e-04  |  3.3836e-04 |
| 0.101 | 3.4344e-04 |  3.4089e-04 |   3.4089e-04  |  3.4344e-04 |
| 0.102 | 3.4856e-04 |  3.4599e-04 |   3.4599e-04  |  3.4857e-04 |
| 0.102 | 3.5374e-04 |  3.5114e-04 |   3.5114e-04  |  3.5374e-04 |
| 0.103 | 3.5897e-04 |  3.5634e-04 |   3.5634e-04  |  3.5897e-04 |
| 0.103 | 3.6424e-04 |  3.6160e-04 |   3.6160e-04  |  3.6425e-04 |
| 0.104 | 3.6957e-04 |  3.6690e-04 |   3.6690e-04  |  3.6958e-04 |
| 0.104 | 3.7496e-04 |  3.7226e-04 |   3.7226e-04  |  3.7496e-04 |
| 0.105 | 3.8039e-04 |  3.7767e-04 |   3.7767e-04  |  3.8040e-04 |
| 0.105 | 3.8588e-04 |  3.8313e-04 |   3.8313e-04  |  3.8588e-04 |
| 0.105 | 3.9142e-04 |  3.8864e-04 |   3.8864e-04  |  3.9142e-04 |
| 0.106 | 3.9701e-04 |  3.9420e-04 |   3.9420e-04  |  3.9701e-04 |
| 0.106 | 4.0265e-04 |  3.9982e-04 |   3.9982e-04  |  4.0266e-04 |
| 0.107 | 4.0835e-04 |  4.0549e-04 |   4.0549e-04  |  4.0835e-04 |
| 0.107 | 4.1410e-04 |  4.1122e-04 |   4.1122e-04  |  4.1411e-04 |
| 0.108 | 4.1991e-04 |  4.1700e-04 |   4.1700e-04  |  4.1991e-04 |
| 0.108 | 4.2577e-04 |  4.2283e-04 |   4.2283e-04  |  4.2577e-04 |
| 0.109 | 4.3168e-04 |  4.2871e-04 |   4.2871e-04  |  4.3168e-04 |
| 0.110 | 4.3765e-04 |  4.3465e-04 |   4.3465e-04  |  4.3765e-04 |
| 0.110 | 4.4367e-04 |  4.4065e-04 |   4.4065e-04  |  4.4367e-04 |
| 0.111 | 4.4975e-04 |  4.4670e-04 |   4.4670e-04  |  4.4975e-04 |
| 0.111 | 4.5588e-04 |  4.5280e-04 |   4.5280e-04  |  4.5588e-04 |
| 0.112 | 4.6207e-04 |  4.5897e-04 |   4.5897e-04  |  4.6207e-04 |
| 0.112 | 4.6831e-04 |  4.6518e-04 |   4.6518e-04  |  4.6832e-04 |
| 0.113 | 4.7461e-04 |  4.7145e-04 |   4.7145e-04  |  4.7462e-04 |
| 0.113 | 4.8097e-04 |  4.7778e-04 |   4.7778e-04  |  4.8097e-04 |
| 0.114 | 4.8738e-04 |  4.8417e-04 |   4.8417e-04  |  4.8739e-04 |
| 0.114 | 4.9385e-04 |  4.9061e-04 |   4.9061e-04  |  4.9386e-04 |
| 0.115 | 5.0038e-04 |  4.9711e-04 |   4.9711e-04  |  5.0038e-04 |
| 0.115 | 5.0696e-04 |  5.0366e-04 |   5.0366e-04  |  5.0697e-04 |
| 0.116 | 5.1360e-04 |  5.1027e-04 |   5.1027e-04  |  5.1361e-04 |
| 0.116 | 5.2030e-04 |  5.1694e-04 |   5.1694e-04  |  5.2031e-04 |
| 0.117 | 5.2706e-04 |  5.2367e-04 |   5.2367e-04  |  5.2707e-04 |
| 0.117 | 5.3388e-04 |  5.3046e-04 |   5.3046e-04  |  5.3388e-04 |
| 0.118 | 5.4075e-04 |  5.3730e-04 |   5.3730e-04  |  5.4075e-04 |
| 0.118 | 5.4768e-04 |  5.4421e-04 |   5.4421e-04  |  5.4769e-04 |
| 0.119 | 5.5467e-04 |  5.5117e-04 |   5.5117e-04  |  5.5468e-04 |
| 0.119 | 5.6173e-04 |  5.5819e-04 |   5.5819e-04  |  5.6173e-04 |
| 0.120 | 5.6884e-04 |  5.6527e-04 |   5.6527e-04  |  5.6884e-04 |
| 0.120 | 5.7601e-04 |  5.7241e-04 |   5.7241e-04  |  5.7601e-04 |
| 0.120 | 5.8324e-04 |  5.7961e-04 |   5.7961e-04  |  5.8324e-04 |
| 0.121 | 5.9053e-04 |  5.8687e-04 |   5.8687e-04  |  5.9053e-04 |
| 0.121 | 5.9788e-04 |  5.9419e-04 |   5.9419e-04  |  5.9788e-04 |
| 0.122 | 6.0529e-04 |  6.0157e-04 |   6.0157e-04  |  6.0529e-04 |
| 0.122 | 6.1276e-04 |  6.0902e-04 |   6.0902e-04  |  6.1277e-04 |
| 0.123 | 6.2030e-04 |  6.1652e-04 |   6.1652e-04  |  6.2030e-04 |
| 0.123 | 6.2789e-04 |  6.2408e-04 |   6.2408e-04  |  6.2790e-04 |
| 0.124 | 6.3555e-04 |  6.3171e-04 |   6.3171e-04  |  6.3555e-04 |
| 0.124 | 6.4327e-04 |  6.3940e-04 |   6.3940e-04  |  6.4327e-04 |
| 0.125 | 6.5105e-04 |  6.4715e-04 |   6.4715e-04  |  6.5105e-04 |
| 0.126 | 6.5889e-04 |  6.5496e-04 |   6.5496e-04  |  6.5890e-04 |
| 0.126 | 6.6680e-04 |  6.6284e-04 |   6.6284e-04  |  6.6681e-04 |
| 0.127 | 6.7477e-04 |  6.7077e-04 |   6.7077e-04  |  6.7478e-04 |
| 0.127 | 6.8280e-04 |  6.7878e-04 |   6.7878e-04  |  6.8281e-04 |
| 0.128 | 6.9090e-04 |  6.8684e-04 |   6.8684e-04  |  6.9090e-04 |
| 0.128 | 6.9906e-04 |  6.9497e-04 |   6.9497e-04  |  6.9906e-04 |
| 0.129 | 7.0728e-04 |  7.0316e-04 |   7.0316e-04  |  7.0729e-04 |
| 0.129 | 7.1557e-04 |  7.1142e-04 |   7.1142e-04  |  7.1558e-04 |
